ID,IsVIP,CountryCode,TotalUnits,TotalFee,Industry,Tenure,UsersCount,Churn,ChurnPerc,TicketsCount,TicketsPriorityMean,TicketsClosedCount,SLATimeUsedTotal,SLATimeUsedMean,SLAPercentageTotal,SLAPercentageMean,NonCompliantSLACount,RMACount,RMAUnitsCount,MDVRCount,FatigueMonitorCount,FuelSensorCount,PowerOnEventsCount,PricingCancelCount,ClosedBussCancelCount,NoPaymentCancelCount,SoldVehicleCancelCount,NoUsedVehicleCancelCount,MultHWCasesCancelCount,NoUsedCancelCount
56991,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,54,0,0,1,0,0,0,0
56992,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,133,0,0,1,0,0,0,0
56993,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,1,0,0,1,0,0,0,0
56994,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,78,0,0,1,0,0,0,0
57001,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,40,0,0,1,0,0,0,0
57002,0,CO,1,29.99,Transportation & Logistics,43,0,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,641,0,0,1,0,0,0,0
57004,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,28,0,0,1,0,0,0,0
57005,0,CO,1,29.99,Transportation & Logistics,43,0,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,99,0,0,1,0,0,0,0
57007,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,15,0,0,0,0,0,1,0
57008,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,240,0,0,1,0,0,0,0
57011,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,17,0,0,1,0,0,0,0
57015,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,1,3.00,0,0,0.00,0,0.00,1,0,0,0,0,0,8,0,0,0,0,0,0,1
57016,0,CO,1,29.99,Transportation & Logistics,43,0,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,127,0,0,1,0,0,0,0
57017,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,1,3.00,0,0,0.00,0,0.00,1,0,0,0,0,0,34,0,0,1,0,0,0,0
57018,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,24,0,0,0,1,0,0,0
57019,0,PE,1,29.99,Transportation & Logistics,43,1,1,100.00,2,2.00,1,0,0.00,0,0.00,2,0,0,0,0,0,67,0,0,1,0,0,0,0
57020,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,20,0,0,0,0,0,1,0
57022,0,PE,11,329.89,Transportation & Logistics,43,1,1,100.00,16,2.00,14,0,0.00,0,0.00,16,0,0,0,0,0,53251,1,0,0,2,0,1,0
57028,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,7,0,0,1,0,0,0,0
57029,0,CO,3,89.97,Transportation & Logistics,43,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,268,0,0,1,1,0,0,0
57030,0,CO,2,59.98,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,76,0,0,1,0,0,0,0
57031,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,16,0,0,0,1,0,0,0
57035,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,141,0,0,1,0,0,0,0
57036,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,26,0,0,1,0,0,0,0
57037,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,16,0,0,0,1,0,0,0
57038,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,56,0,0,0,0,0,1,0
57039,0,CO,2,59.98,Transportation & Logistics,43,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,53,0,0,1,0,0,0,0
